STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Andhra Pradesh,2009,Road Accidents,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331,42011
Andhra Pradesh,2009,Rail-Road Accidents,0,0,0,0,1,2,1,0,0,0,0,0,4
Andhra Pradesh,2009,Other Railway Accidents,110,92,113,132,131,112,121,142,110,121,110,108,1402
Andhra Pradesh,2010,Road Accidents,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575,42428
Andhra Pradesh,2010,Rail-Road Accidents,54,51,52,60,63,62,62,63,62,65,54,42,690
Andhra Pradesh,2010,Other Railway Accidents,76,66,63,81,68,82,71,62,89,79,69,67,873
Andhra Pradesh,2011,Road Accidents,3540,3195,3584,3396,3916,3793,3237,3106,3067,3398,3442,3392,41066
Andhra Pradesh,2011,Rail-Road Accidents,46,51,58,62,69,45,62,52,58,61,48,63,675
Andhra Pradesh,2011,Other Railway Accidents,105,105,104,115,141,141,98,114,114,108,121,96,1362
Andhra Pradesh,2012,Road Accidents,3347,3390,3693,3589,3250,3187,3160,3177,2893,3205,2985,3468,39344
Andhra Pradesh,2012,Rail-Road Accidents,0,2,0,0,0,0,0,1,0,0,0,0,3
Andhra Pradesh,2012,Other Railway Accidents,224,208,242,222,228,224,209,206,226,257,205,241,2692
Arunachal Pradesh,2001,Road Accidents,19,17,21,16,19,14,21,14,23,17,30,25,236
Arunachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Road Accidents,25,16,21,23,16,19,11,17,18,21,25,23,235
Arunachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Road Accidents,16,24,22,13,18,17,19,21,23,18,16,22,229
Arunachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Road Accidents,23,24,23,11,15,11,14,8,21,29,17,21,217
Arunachal Pradesh,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Road Accidents,26,14,29,12,17,20,20,14,19,21,24,21,237
Arunachal Pradesh,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Road Accidents,14,20,17,19,20,31,11,25,18,25,21,22,243
Arunachal Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Road Accidents,22,20,26,19,25,19,14,15,22,18,11,19,230
Arunachal Pradesh,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Road Accidents,20,21,18,16,33,24,13,18,27,20,24,27,261
Arunachal Pradesh,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Road Accidents,20,21,18,16,33,24,13,18,27,20,24,27,261
Arunachal Pradesh,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Road Accidents,31,33,20,26,28,23,14,15,18,20,23,29,280
Arunachal Pradesh,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,Road Accidents,22,24,30,22,29,9,28,22,16,25,15,21,263
Arunachal Pradesh,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2012,Road Accidents,17,21,24,16,11,13,20,18,14,16,20,14,204
Arunachal Pradesh,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2012,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Road Accidents,141,127,202,173,176,137,140,160,132,140,132,146,1806
Assam,2001,Rail-Road Accidents,3,2,1,4,1,1,3,5,1,5,2,2,30
Assam,2001,Other Railway Accidents,13,13,20,15,13,20,23,21,24,17,13,21,213
Assam,2002,Road Accidents,196,210,185,159,182,163,144,237,180,180,222,185,2243
Assam,2002,Rail-Road Accidents,2,0,0,5,1,0,0,2,0,0,0,0,10
Assam,2002,Other Railway Accidents,30,21,24,29,21,29,26,22,30,35,33,22,322
Assam,2003,Road Accidents,194,143,193,180,169,180,162,167,205,188,180,184,2145
Assam,2003,Rail-Road Accidents,2,1,2,0,1,1,1,1,0,0,1,0,10
Assam,2003,Other Railway Accidents,36,20,22,29,36,21,29,31,40,35,23,23,345
Assam,2004,Road Accidents,183,172,170,160,176,168,118,170,157,167,182,179,2002
Assam,2004,Rail-Road Accidents,3,6,2,0,2,3,3,2,1,2,2,1,27
Assam,2004,Other Railway Accidents,21,29,41,51,42,31,20,42,34,11,40,10,372
Assam,2005,Road Accidents,307,334,317,287,306,308,297,354,286,311,287,262,3656
Assam,2005,Rail-Road Accidents,4,2,3,2,4,3,4,2,4,4,9,6,47
Assam,2005,Other Railway Accidents,18,31,26,23,27,25,34,33,27,28,26,20,318
Assam,2006,Road Accidents,297,333,365,318,363,352,370,289,335,325,378,355,4080
Assam,2006,Rail-Road Accidents,10,5,11,8,4,11,7,15,4,3,4,8,90
Assam,2006,Other Railway Accidents,38,33,41,31,33,32,38,34,39,50,40,41,450
Assam,2007,Road Accidents,383,358,392,395,375,331,299,305,296,308,275,278,3995
Assam,2007,Rail-Road Accidents,9,4,2,6,4,4,4,2,3,2,1,1,42
Assam,2007,Other Railway Accidents,12,13,22,16,31,25,13,25,32,20,17,21,247
Assam,2008,Road Accidents,375,381,399,363,339,326,371,370,344,308,346,340,4262
Assam,2008,Rail-Road Accidents,8,5,2,3,1,0,1,2,0,0,1,0,23
Assam,2008,Other Railway Accidents,15,18,25,22,22,36,59,18,25,22,15,26,303
Assam,2009,Road Accidents,388,385,400,377,394,376,393,331,387,405,367,382,4585
Assam,2009,Rail-Road Accidents,14,6,4,6,6,4,7,6,8,6,7,17,91
Assam,2009,Other Railway Accidents,37,32,32,30,41,37,33,50,48,26,29,30,425
Assam,2010,Road Accidents,418,450,496,452,396,416,455,454,504,525,451,468,5485
Assam,2010,Rail-Road Accidents,3,0,3,3,6,3,4,1,1,0,1,2,27
Assam,2010,Other Railway Accidents,28,35,42,36,39,46,35,36,39,41,37,27,441
Assam,2011,Road Accidents,554,545,607,515,518,557,502,515,532,551,590,583,6569
Assam,2011,Rail-Road Accidents,6,2,4,4,4,2,3,1,2,0,0,1,29
Assam,2011,Other Railway Accidents,28,28,39,45,41,54,41,29,42,53,45,37,482
Assam,2012,Road Accidents,590,599,605,601,567,536,486,458,418,544,543,588,6535
Assam,2012,Rail-Road Accidents,3,3,1,3,1,3,2,3,1,5,0,4,29
Assam,2012,Other Railway Accidents,37,44,38,28,31,46,48,49,61,36,48,34,500
Bihar,2001,Road Accidents,325,361,474,336,528,417,329,336,317,289,317,305,4334
Bihar,2001,Rail-Road Accidents,18,15,17,24,25,22,20,17,21,18,21,23,241
Bihar,2001,Other Railway Accidents,42,43,45,49,60,58,55,41,48,48,41,39,569
Bihar,2002,Road Accidents,380,366,401,391,560,477,362,303,227,290,326,289,4372
Bihar,2002,Rail-Road Accidents,16,16,25,19,28,20,22,30,32,18,27,20,273
Bihar,2002,Other Railway Accidents,41,33,47,43,52,52,54,72,58,44,41,63,600
Bihar,2003,Road Accidents,337,340,368,359,440,429,326,241,255,263,258,286,3902
Bihar,2003,Rail-Road Accidents,1,0,0,0,0,0,0,0,0,0,0,0,1
Bihar,2003,Other Railway Accidents,56,57,44,73,88,73,79,69,83,59,66,56,803
Bihar,2004,Road Accidents,296,349,407,308,413,392,253,258,320,290,297,307,3890
Bihar,2004,Rail-Road Accidents,11,9,8,12,9,9,10,9,7,8,8,11,111
Bihar,2004,Other Railway Accidents,48,43,59,64,63,74,77,64,75,72,59,54,752
Bihar,2005,Road Accidents,262,254,354,340,463,381,310,263,241,255,301,322,3746
Bihar,2005,Rail-Road Accidents,10,10,18,13,20,23,16,11,18,14,21,15,189
Bihar,2005,Other Railway Accidents,53,56,55,84,55,95,79,61,54,57,54,63,766
Bihar,2006,Road Accidents,306,348,395,389,439,386,363,341,320,381,380,334,4382
Bihar,2006,Rail-Road Accidents,11,11,14,18,12,24,19,22,11,14,16,15,187
Bihar,2006,Other Railway Accidents,91,78,82,93,135,104,90,103,117,127,116,94,1230
Bihar,2007,Road Accidents,443,464,505,518,635,551,438,375,347,427,484,444,5631
Bihar,2007,Rail-Road Accidents,0,1,1,1,1,0,1,0,0,0,1,0,6
Bihar,2007,Other Railway Accidents,82,92,96,105,135,120,114,97,121,139,128,90,1319
Bihar,2008,Road Accidents,447,485,612,583,621,529,441,465,422,487,591,497,6180
Bihar,2008,Rail-Road Accidents,1,1,1,1,0,0,1,0,2,0,0,0,7
Bihar,2008,Other Railway Accidents,66,80,106,92,93,100,111,115,121,128,106,79,1197
Bihar,2009,Road Accidents,543,706,754,595,925,911,712,592,574,634,699,721,8366
Bihar,2009,Rail-Road Accidents,2,3,5,10,2,2,3,3,5,3,5,5,48
Bihar,2009,Other Railway Accidents,57,75,120,112,113,111,100,116,85,92,76,77,1134
Bihar,2010,Road Accidents,610,698,722,650,833,1034,723,689,546,606,665,665,8441
Bihar,2010,Rail-Road Accidents,3,4,5,9,0,8,4,2,3,1,0,4,43
Bihar,2010,Other Railway Accidents,72,85,83,126,105,119,128,119,106,117,78,86,1224
Bihar,2011,Road Accidents,750,808,964,737,964,880,769,644,618,759,773,689,9355
Bihar,2011,Rail-Road Accidents,3,0,0,1,2,0,1,1,0,0,0,2,10
Bihar,2011,Other Railway Accidents,125,111,146,142,172,166,178,169,145,180,169,128,1831
Bihar,2012,Road Accidents,799,905,915,1027,909,1003,822,787,728,763,837,825,10320
Bihar,2012,Rail-Road Accidents,23,18,22,17,21,22,23,14,27,22,32,23,264
Bihar,2012,Other Railway Accidents,104,110,94,99,124,113,128,135,132,110,107,110,1366
Chhattisgarh,2001,Road Accidents,428,385,403,448,504,425,367,371,400,425,393,438,4987
Chhattisgarh,2001,Rail-Road Accidents,0,2,1,2,1,0,0,0,0,1,1,0,8
Chhattisgarh,2001,Other Railway Accidents,17,13,25,29,24,26,21,19,23,25,25,23,270
Chhattisgarh,2002,Road Accidents,477,439,522,511,584,468,434,444,448,515,453,506,5801
Chhattisgarh,2002,Rail-Road Accidents,1,0,1,1,0,0,1,0,0,0,0,0,4
Chhattisgarh,2002,Other Railway Accidents,28,15,35,31,26,48,30,25,38,30,26,34,366
Chhattisgarh,2003,Road Accidents,649,565,589,647,629,613,586,524,501,595,543,582,7023
Chhattisgarh,2003,Rail-Road Accidents,3,5,2,3,5,6,5,7,2,5,6,4,53
Chhattisgarh,2003,Other Railway Accidents,16,28,31,47,44,33,27,31,38,35,21,35,386
Chhattisgarh,2004,Road Accidents,553,532,534,586,592,501,409,437,439,532,483,477,6075
Chhattisgarh,2004,Rail-Road Accidents,8,18,12,7,11,9,14,10,10,5,6,8,118
Chhattisgarh,2004,Other Railway Accidents,18,24,24,28,26,30,33,31,32,25,29,30,330
Chhattisgarh,2005,Road Accidents,472,513,537,513,566,530,558,421,435,496,483,472,5996
Chhattisgarh,2005,Rail-Road Accidents,2,3,4,9,7,11,6,9,2,6,1,7,67
Chhattisgarh,2005,Other Railway Accidents,26,28,20,45,43,31,42,38,50,30,30,33,416
Chhattisgarh,2006,Road Accidents,624,611,607,631,710,598,534,534,507,575,607,573,7111
Chhattisgarh,2006,Rail-Road Accidents,1,1,4,5,1,2,5,5,3,3,5,4,39
Chhattisgarh,2006,Other Railway Accidents,33,32,35,45,47,47,33,39,40,38,39,34,462
Chhattisgarh,2007,Road Accidents,787,632,638,729,701,630,619,544,642,660,599,656,7837
Chhattisgarh,2007,Rail-Road Accidents,0,3,3,3,0,0,1,1,0,1,1,2,15
Chhattisgarh,2007,Other Railway Accidents,36,30,41,30,57,42,47,42,44,38,46,40,493
Chhattisgarh,2008,Road Accidents,773,712,746,859,848,704,659,589,706,783,655,735,8769
Chhattisgarh,2008,Rail-Road Accidents,3,2,1,3,3,3,3,3,2,1,1,1,26
Chhattisgarh,2008,Other Railway Accidents,45,38,39,52,45,33,48,50,41,45,31,36,503
Chhattisgarh,2009,Road Accidents,721,689,643,689,710,670,639,595,617,642,659,639,7913
Chhattisgarh,2009,Rail-Road Accidents,10,12,9,7,8,12,3,8,3,6,5,6,89
Chhattisgarh,2009,Other Railway Accidents,36,40,38,38,52,33,41,39,51,38,28,25,459
Chhattisgarh,2010,Road Accidents,670,627,671,652,705,612,655,606,605,684,655,660,7802
Chhattisgarh,2010,Rail-Road Accidents,51,50,55,53,53,54,52,50,51,48,52,48,617
Chhattisgarh,2010,Other Railway Accidents,38,37,37,32,51,56,58,53,51,51,58,41,563
Chhattisgarh,2011,Road Accidents,868,795,804,725,903,793,747,660,636,770,723,771,9195
Chhattisgarh,2011,Rail-Road Accidents,8,7,8,4,12,13,6,9,8,24,10,9,118
Chhattisgarh,2011,Other Railway Accidents,38,39,59,42,47,47,44,48,52,63,57,48,584
Chhattisgarh,2012,Road Accidents,1253,1161,1175,1188,1182,1121,1103,990,1016,1107,1084,1131,13511
Chhattisgarh,2012,Rail-Road Accidents,5,1,6,5,3,3,2,5,2,5,2,4,43
Chhattisgarh,2012,Other Railway Accidents,37,35,37,34,58,45,41,43,49,44,38,48,509
Goa,2001,Road Accidents,124,115,111,108,131,95,95,101,108,117,122,148,1375
Goa,2001,Rail-Road Accidents,0,0,1,1,0,0,0,0,0,0,0,1,3
Goa,2001,Other Railway Accidents,1,2,2,1,1,1,3,1,2,4,1,3,22
Goa,2002,Road Accidents,99,100,95,113,105,74,65,95,102,113,121,119,1201
Goa,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2002,Other Railway Accidents,2,4,1,4,5,4,4,2,1,3,4,4,38
Goa,2003,Road Accidents,173,151,151,121,166,113,99,121,116,146,166,155,1678
Goa,2003,Rail-Road Accidents,2,0,2,4,0,3,1,1,0,1,2,2,18
Goa,2003,Other Railway Accidents,0,0,3,2,1,2,0,1,1,1,1,1,13
Goa,2004,Road Accidents,148,127,122,130,143,104,104,120,121,120,139,164,1542
Goa,2004,Rail-Road Accidents,1,1,0,1,0,0,1,0,2,2,0,1,9
Goa,2004,Other Railway Accidents,2,2,4,4,0,6,0,0,0,2,2,4,26
Goa,2005,Road Accidents,93,75,88,100,100,80,64,81,79,84,110,115,1069
Goa,2005,Rail-Road Accidents,0,0,0,1,0,0,0,1,0,0,0,0,2
Goa,2005,Other Railway Accidents,1,1,1,2,1,1,2,1,1,0,0,1,12
Goa,2006,Road Accidents,341,323,314,300,408,268,263,272,291,303,307,359,3749
Goa,2006,Rail-Road Accidents,0,0,3,0,2,0,0,0,1,1,0,0,7
Goa,2006,Other Railway Accidents,1,3,3,2,3,1,4,2,2,3,3,1,28
Goa,2007,Road Accidents,365,362,332,375,392,299,245,274,335,320,353,370,4022
Goa,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2007,Other Railway Accidents,0,2,0,4,6,3,2,2,3,2,3,0,27
Goa,2008,Road Accidents,396,350,384,354,400,309,276,326,305,340,339,400,4179
Goa,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2008,Other Railway Accidents,2,1,5,0,3,1,3,3,2,3,2,5,30
Goa,2009,Road Accidents,389,351,370,327,370,306,279,302,324,323,371,458,4170
Goa,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2009,Other Railway Accidents,3,6,1,4,6,3,3,3,2,1,3,5,40
Goa,2010,Road Accidents,472,411,392,393,422,307,294,346,334,381,388,434,4574
Goa,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2010,Other Railway Accidents,5,4,7,5,4,2,4,3,7,5,6,3,55
Goa,2011,Road Accidents,486,400,370,369,421,353,307,331,312,373,395,444,4561
Goa,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2011,Other Railway Accidents,2,3,3,2,3,5,4,6,3,2,6,3,42
Goa,2012,Road Accidents,428,317,343,332,393,328,309,357,346,339,391,405,4288
Goa,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2012,Other Railway Accidents,2,6,9,13,3,3,4,5,9,3,7,10,74
Gujarat,2001,Road Accidents,1657,1600,1791,1744,1935,1566,1420,1533,1448,1602,1769,1743,19808
Gujarat,2001,Rail-Road Accidents,2,0,2,3,4,2,1,4,1,2,3,0,24
Gujarat,2001,Other Railway Accidents,82,83,94,96,107,92,99,113,89,81,81,86,1103
Gujarat,2002,Road Accidents,1652,1529,1186,1446,1840,1723,1498,1515,1434,1616,1644,1657,18740
Gujarat,2002,Rail-Road Accidents,0,2,2,1,0,7,4,2,3,1,1,4,27
Gujarat,2002,Other Railway Accidents,94,78,71,95,121,106,115,115,121,119,126,90,1251
Gujarat,2003,Road Accidents,1616,1457,1456,1395,1780,1499,1276,1439,1404,1620,1501,1659,18102
Gujarat,2003,Rail-Road Accidents,5,5,7,5,4,6,4,2,5,13,7,5,68
Gujarat,2003,Other Railway Accidents,106,94,80,101,118,103,91,115,116,110,115,85,1234
Gujarat,2004,Road Accidents,1669,1580,1601,1606,1771,1493,1357,1119,1471,1476,1673,1662,18478
Gujarat,2004,Rail-Road Accidents,8,5,9,8,2,5,7,4,7,4,4,6,69
Gujarat,2004,Other Railway Accidents,75,88,81,104,92,85,96,88,89,80,98,72,1048
Gujarat,2005,Road Accidents,1586,1575,1625,1583,1928,1559,1321,1342,1292,1477,1661,1592,18541
Gujarat,2005,Rail-Road Accidents,4,3,4,2,1,4,2,4,1,4,2,3,34
Gujarat,2005,Other Railway Accidents,94,82,103,91,89,106,90,104,87,116,81,87,1130
Gujarat,2006,Road Accidents,1706,1557,1721,1703,1950,1512,1323,1172,1423,1575,1578,1724,18944
Gujarat,2006,Rail-Road Accidents,4,0,3,5,4,2,2,6,1,2,3,4,36
Gujarat,2006,Other Railway Accidents,79,91,75,77,119,92,69,88,103,120,107,97,1117
Gujarat,2007,Road Accidents,1898,1743,1918,1959,2169,1806,1509,1505,1613,1732,1867,1714,21433
Gujarat,2007,Rail-Road Accidents,5,0,6,3,4,9,5,7,9,3,5,7,63
Gujarat,2007,Other Railway Accidents,93,94,83,111,113,91,96,120,99,109,99,88,1196
Gujarat,2008,Road Accidents,1843,1878,1943,1969,2091,1782,1562,1461,1471,1722,1605,1700,21027
Gujarat,2008,Rail-Road Accidents,5,5,9,7,6,7,5,4,5,9,15,7,84
Gujarat,2008,Other Railway Accidents,91,110,81,92,114,95,95,94,96,108,92,79,1147
Gujarat,2009,Road Accidents,1742,1603,1743,1628,1937,1640,1339,1594,1613,1752,1674,1836,20101
Gujarat,2009,Rail-Road Accidents,10,4,7,4,4,7,4,5,5,5,4,5,64
Gujarat,2009,Other Railway Accidents,77,77,100,86,101,105,79,79,87,87,68,80,1026
Gujarat,2010,Road Accidents,1892,1716,1803,1717,2042,1730,1469,1310,1391,1639,1860,1929,20498
Gujarat,2010,Rail-Road Accidents,5,9,8,4,7,9,3,7,6,6,4,1,69
Gujarat,2010,Other Railway Accidents,83,51,76,80,91,94,101,101,81,94,93,66,1011
Gujarat,2011,Road Accidents,2626,2601,2629,2447,3056,2558,2346,2212,2169,2617,2524,2414,30199
Gujarat,2011,Rail-Road Accidents,3,1,5,6,4,4,4,4,2,3,5,1,42
Gujarat,2011,Other Railway Accidents,92,65,93,75,106,95,73,119,93,97,77,85,1070
Gujarat,2012,Road Accidents,2549,2483,2370,2400,2486,2313,2098,2076,1948,2153,2294,2097,27267
Gujarat,2012,Rail-Road Accidents,3,4,7,5,6,4,5,4,5,5,4,4,56
Gujarat,2012,Other Railway Accidents,76,69,78,82,105,89,100,95,100,86,102,86,1068
Haryana,2001,Road Accidents,481,506,517,543,543,520,540,509,540,542,571,561,6373
Haryana,2001,Rail-Road Accidents,0,1,2,1,0,1,1,1,0,0,0,0,7
Haryana,2001,Other Railway Accidents,132,161,90,140,105,94,179,69,58,61,72,70,1231
Haryana,2002,Road Accidents,513,524,595,593,583,641,586,596,559,657,615,625,7087
Haryana,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Road Accidents,468,512,534,528,581,480,545,493,542,568,662,511,6424
Haryana,2003,Rail-Road Accidents,1,0,2,1,1,0,1,1,2,0,1,1,11
Haryana,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,Road Accidents,591,657,658,629,633,673,669,659,655,685,692,707,7908
Haryana,2004,Rail-Road Accidents,1,1,3,0,1,2,4,0,0,3,1,2,18
Haryana,2004,Other Railway Accidents,135,165,95,146,110,101,184,76,63,66,76,76,1293
Haryana,2005,Road Accidents,626,514,604,598,692,634,664,682,565,704,703,696,7682
Haryana,2005,Rail-Road Accidents,1,1,2,0,1,2,4,1,0,2,0,3,17
Haryana,2005,Other Railway Accidents,139,172,107,153,115,109,191,86,72,71,76,75,1366
Haryana,2006,Road Accidents,792,736,854,855,876,858,823,861,847,939,878,943,10262
Haryana,2006,Rail-Road Accidents,0,1,0,0,2,2,0,1,1,2,3,2,14
Haryana,2006,Other Railway Accidents,103,96,138,130,124,160,150,121,124,130,130,120,1526
Haryana,2007,Road Accidents,825,780,839,839,881,871,859,909,873,904,834,902,10316
Haryana,2007,Rail-Road Accidents,1,0,1,0,1,2,1,0,1,2,3,1,13
Haryana,2007,Other Railway Accidents,67,60,102,96,88,124,114,85,84,85,86,101,1092
Haryana,2008,Road Accidents,911,869,1001,998,951,847,899,909,910,1052,939,955,11241
Haryana,2008,Rail-Road Accidents,3,4,4,2,2,5,2,0,0,1,1,1,25
Haryana,2008,Other Railway Accidents,85,89,98,95,87,92,94,97,88,89,81,86,1081
Haryana,2009,Road Accidents,808,963,982,928,973,977,931,929,875,966,1080,1015,11427
Haryana,2009,Rail-Road Accidents,1,3,2,2,1,0,0,1,2,1,1,0,14
Haryana,2009,Other Railway Accidents,89,100,102,98,93,97,96,99,93,92,85,87,1131
Haryana,2010,Road Accidents,883,897,1035,936,932,933,892,925,816,998,939,975,11161
Haryana,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Other Railway Accidents,125,109,98,95,90,95,87,88,98,105,102,103,1195
Haryana,2011,Road Accidents,830,896,891,818,899,869,842,829,874,978,911,916,10553
Haryana,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2011,Other Railway Accidents,140,122,124,118,122,123,80,79,78,84,80,102,1252
Haryana,2012,Road Accidents,759,819,865,841,841,791,799,791,761,862,870,972,9971
Haryana,2012,Rail-Road Accidents,0,1,0,1,1,2,3,1,1,2,0,3,15
Haryana,2012,Other Railway Accidents,160,130,120,103,104,86,82,76,88,103,108,104,1264
Himachal Pradesh,2001,Road Accidents,137,131,164,156,184,207,201,167,195,227,176,165,2110
Himachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Other Railway Accidents,1,2,1,0,1,1,1,0,0,1,1,1,10
Himachal Pradesh,2002,Road Accidents,135,138,183,176,230,241,216,220,189,176,184,193,2281
Himachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Other Railway Accidents,0,0,0,1,0,0,0,0,0,0,0,0,1
Himachal Pradesh,2003,Road Accidents,149,145,159,160,205,207,259,239,234,189,217,196,2359
Himachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Other Railway Accidents,2,1,0,0,3,1,5,0,2,1,1,0,16
Himachal Pradesh,2004,Road Accidents,173,183,191,207,225,231,226,208,239,230,214,188,2515
Himachal Pradesh,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Other Railway Accidents,2,3,3,3,1,1,0,1,2,1,1,0,18
Himachal Pradesh,2005,Road Accidents,162,143,185,166,213,241,203,261,214,218,215,180,2401
Himachal Pradesh,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Other Railway Accidents,1,1,0,1,1,1,1,1,0,1,1,1,10
Himachal Pradesh,2006,Road Accidents,161,161,215,229,240,209,203,193,199,224,183,199,2416
Himachal Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Other Railway Accidents,1,2,2,2,1,2,2,2,1,1,1,1,18
Himachal Pradesh,2007,Road Accidents,181,167,183,207,222,227,246,220,256,256,222,195,2582
Himachal Pradesh,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Other Railway Accidents,3,2,1,1,1,3,1,3,1,1,0,0,17
Himachal Pradesh,2008,Road Accidents,166,132,135,179,151,174,178,166,157,210,169,165,1982
Himachal Pradesh,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Other Railway Accidents,0,4,3,2,2,2,1,2,0,0,2,4,22
Himachal Pradesh,2009,Road Accidents,213,252,233,236,283,299,285,257,250,272,263,235,3078
Himachal Pradesh,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Other Railway Accidents,0,0,0,1,2,0,3,2,2,0,2,3,15
Himachal Pradesh,2010,Road Accidents,216,205,239,253,278,310,275,257,256,246,297,245,3077
Himachal Pradesh,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Other Railway Accidents,0,1,2,2,3,2,1,2,0,1,2,4,20
Himachal Pradesh,2011,Road Accidents,222,215,261,245,269,283,267,249,253,272,281,282,3099
Himachal Pradesh,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2011,Other Railway Accidents,3,2,1,4,1,2,1,4,2,3,2,2,27
Himachal Pradesh,2012,Road Accidents,214,191,256,243,254,274,236,270,233,219,292,217,2899
Himachal Pradesh,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2012,Other Railway Accidents,2,2,0,0,1,4,1,0,0,1,1,2,14
