STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Haryana,2014,Road Accidents,892,881,963,911,939,906,955,916,871,891,962,956,11043
Haryana,2014,Other Railway Accidents,128,45,53,62,75,46,38,93,136,253,193,239,1361
Haryana,2014,Rail-Road Accidents,0,2,1,0,2,2,2,2,1,0,1,0,13
Himachal Pradesh,2014,Road Accidents,246,191,260,234,289,295,292,329,272,302,313,302,3325
Himachal Pradesh,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Road Accidents,414,415,424,433,506,594,563,515,415,544,517,438,5778
Jammu & Kashmir,2014,Other Railway Accidents,6,5,3,2,3,11,5,2,7,3,2,3,52
Jammu & Kashmir,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Road Accidents,399,434,418,425,454,414,391,384,341,419,373,453,4905
Jharkhand,2014,Other Railway Accidents,17,21,14,21,25,25,27,43,17,42,55,48,355
Jharkhand,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,9,22,23,54
Karnataka,2014,Road Accidents,3915,3649,3805,3577,4053,3772,3421,3428,3254,3517,3442,3861,43694
Karnataka,2014,Other Railway Accidents,2,1,5,1,3,5,0,5,3,2,5,4,36
Karnataka,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2014,Road Accidents,3332,2909,3005,2785,3162,2805,2834,2913,2911,2911,2963,3342,35872
Kerala,2014,Other Railway Accidents,29,22,40,21,32,40,22,25,42,33,27,35,368
Kerala,2014,Rail-Road Accidents,3,4,3,3,2,2,6,1,11,5,2,2,44
Madhya Pradesh,2014,Road Accidents,3375,3154,3470,3345,4107,3637,3104,2951,2946,3261,3288,3060,39698
Madhya Pradesh,2014,Other Railway Accidents,142,136,168,146,186,209,175,182,157,158,141,126,1926
Madhya Pradesh,2014,Rail-Road Accidents,6,7,11,11,13,9,14,9,15,8,9,11,123
Maharashtra,2014,Road Accidents,3978,3714,3920,3847,4258,3784,3546,3450,3298,3291,3478,3818,44382
Maharashtra,2014,Other Railway Accidents,654,591,650,651,712,741,605,679,723,671,650,642,7969
Maharashtra,2014,Rail-Road Accidents,1,0,2,1,2,1,2,0,3,3,1,2,18
Manipur,2014,Road Accidents,61,59,66,59,62,49,49,53,73,72,59,73,735
Manipur,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Road Accidents,30,27,20,25,27,28,29,24,26,22,19,24,301
Meghalaya,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Road Accidents,10,6,15,10,11,4,10,5,6,3,7,8,95
Mizoram,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Road Accidents,3,2,2,4,2,0,1,3,0,4,0,7,28
Nagaland,2014,Other Railway Accidents,1,0,1,2,1,1,0,3,0,1,1,0,11
